model_name,lr,epochs,optimizer,loss,results,mae,mse,time
model2_hr,0.0005,180,RMSprop,mse,"[108.75979614257812, 108.75979614257812, 8.296551704406738]",8.296552840083985,108.75978472854156,1686709615.859123
model2_hr,0.0005,300,RMSprop,mse,"[134.0949249267578, 134.0949249267578, 9.475979804992676]",9.475980679763987,134.09490815090317,1686711716.796739
model2_hr,0.0005,300,Adam,mse,"[134.11172485351562, 134.11172485351562, 9.476646423339844]",9.47664519034889,134.11173608760046,1686711751.9978485
model2_hr,0.0005,300,SGD,mse,"[133.89190673828125, 133.89190673828125, 9.442244529724121]",9.442245769553336,133.89189849967897,1686711786.7184925
model2_hr,0.0005,300,Adagrad,mse,"[133.90550231933594, 133.90550231933594, 9.443075180053711]",9.44307767233662,133.9054952361994,1686711821.344796
model2_hr,5e-05,300,RMSprop,mse,"[133.90966796875, 133.90966796875, 9.443310737609863]",9.443312828539488,133.909666353871,1686711856.6195407
model2_hr,5e-05,300,Adam,mse,"[133.8950653076172, 133.8950653076172, 9.45138168334961]",9.45138152975176,133.89508122067613,1686711891.9641674
model2_hr,5e-05,300,SGD,mse,"[133.8614044189453, 133.8614044189453, 9.447247505187988]",9.44724684818897,133.86137527794492,1686711926.3602622
model2_hr,5e-05,300,Adagrad,mse,"[133.84326171875, 133.84326171875, 9.44515609741211]",9.445157812237412,133.84326859646336,1686711961.1762457
model2_hr,0.005,300,RMSprop,mse,"[133.8631591796875, 133.8631591796875, 9.43984317779541]",9.439842783806409,133.86316187755486,1686711996.3985064
model2_hr,0.005,300,Adam,mse,"[133.86184692382812, 133.86184692382812, 9.433734893798828]",9.433735518710623,133.8618522335636,1686712031.5904408
model2_hr,0.005,300,SGD,mse,"[134.3026580810547, 134.3026580810547, 9.49843692779541]",9.4984371061162,134.3026524229253,1686712066.654708
model2_hr,0.005,300,Adagrad,mse,"[133.93392944335938, 133.93392944335938, 9.446700096130371]",9.446701319126944,133.93391908978344,1686712113.559328
model2_hr,0.0005,300,RMSprop,mse,"[122.81806182861328, 122.81806182861328, 8.986401557922363]",8.986402394820233,122.81806370324212,1686715276.460889
model2_hr,0.0005,300,Adam,mse,"[133.46432495117188, 133.46432495117188, 9.40589427947998]",9.405895180552294,133.46435043148185,1686716355.4176905
model2_hr,0.0005,300,RMSprop,mse,"[149.2582550048828, 149.2582550048828, 9.594331741333008]",9.594330475728812,149.25825021272024,1686724580.2256024
model2_hr,0.0005,300,Adam,mse,"[133.8589324951172, 133.8589324951172, 9.439302444458008]",9.439302952593358,133.85893226506522,1686730687.31838
model2_hr,0.0005,300,SGD,mse,"[134.00804138183594, 134.00804138183594, 9.461255073547363]",9.461255115102944,134.00806106536191,1686737087.7514007
model2_hr,0.0005,300,Adagrad,mse,"[1754.662353515625, 1754.662353515625, 40.259300231933594]",40.25931498363935,1754.6621776413522,1686744022.7049608
model2_hr,5e-05,300,RMSprop,mse,"[133.88658142089844, 133.88658142089844, 9.441896438598633]",9.441896534334278,133.88654823556297,1686751272.989938
model2_hr,5e-05,300,Adam,mse,"[133.8838653564453, 133.8838653564453, 9.441705703735352]",9.44170518087144,133.88388144522258,1686759249.7520082
model2_hr,5e-05,300,SGD,mse,"[133.8655242919922, 133.8655242919922, 9.440106391906738]",9.440106706992736,133.86552560442638,1686768026.5838728
