model_name,lr,epochs,optimizer,loss,results,mae_dbp,mae_sbp,mse_dbp,mse_sbp
model2_bpm,0.005,180,RMSprop,mse,"[0.1635361760854721, 0.1635361760854721, 0.3164203464984894]",,,,
model2_bpm,0.005,1,RMSprop,mse,"[0.04578690603375435, 0.04578690603375435, 0.16919127106666565]",6.516214003565557,13.93759805855012,71.70976175615428,291.14164047116486
model2_bpm,0.005,1,Adam,mse,"[11524.4912109375, 11524.4912109375, 103.71477508544922]",3571.9839417699022,9219.753511061672,12895693.366868092,86472944.1599492
model2_bpm,0.005,1,SGD,mse,"[51188476.0, 51188476.0, 6501.71435546875]",164399.47244725592,673207.6845410658,27303852417.85132,460824336422.8912
model2_bpm,0.005,1,Adagrad,mse,"[244163362816.0, 244163362816.0, 418907.34375]",7401554.637600263,48480176.50555932,55343259548576.77,2389807560806823.0
model2_bpm,0.0005,1,RMSprop,mse,"[1222582305030144.0, 1222582305030144.0, 27940972.0]",333073508.72670245,3490581879.288343,1.1207246542247926e+17,1.2388826418561309e+19
model2_bpm,0.0005,1,Adam,mse,"[6.25044927575543e+18, 6.25044927575543e+18, 1911827456.0]",14988311445.640478,251321904472.2996,2.269468489858948e+20,6.422368075981429e+22
model2_bpm,0.0005,1,SGD,mse,"[3.222532248606486e+22, 3.222532248606486e+22, 133155102720.0]",674474018600.5521,18095177131122.902,4.595673739808048e+23,3.329355613888364e+26
model2_bpm,0.0005,1,Adagrad,mse,"[1.666975445969385e+26, 1.666975445969385e+26, 9384825454592.0]",30351330840572.047,1302852753449971.5,9.306239325264549e+26,1.7259379502635e+30
model2_bpm,5e-05,1,RMSprop,mse,"[8.634342387397457e+29, 8.634342387397457e+29, 666602076897280.0]",1365809887829290.2,9.380539824840714e+16,1.8845134633757627e+30,8.947262334167699e+33
model2_bpm,5e-05,1,Adam,mse,"[4.4745729576232347e+33, 4.4745729576232347e+33, 4.758560052976026e+16]",6.146144495232162e+16,6.753988673885322e+18,3.8161397633363546e+33,4.638260794032548e+37
model2_bpm,5e-05,1,SGD,mse,"[inf, inf, 3.407724909181272e+18]",2.7657650228544763e+18,4.862871845197433e+20,7.72768302075614e+36,2.404474395626473e+41
model2_bpm,5e-05,1,Adagrad,mse,"[inf, inf, 2.44526477797476e+20]",1.244594260284514e+20,3.5012677285421527e+22,1.5648558117031181e+40,1.246479526692764e+45
model2_bpm,0.005,1,RMSprop,mae,"[1.7568568042070162e+22, inf, 1.7568568042070162e+22]",5.600674171280313e+21,2.52091276455035e+24,3.168833018698814e+43,6.46174986637529e+48
model2_bpm,0.005,1,Adam,mae,"[1.2632563808280984e+24, inf, 1.2632563808280984e+24]",2.5203033770761404e+23,1.815057190476252e+26,6.416886862865098e+46,3.34977113072895e+52
model2_bpm,0.005,1,SGD,mae,"[9.087888080331009e+25, inf, 9.087888080331009e+25]",1.1341365196842633e+25,1.3068411771429012e+28,1.2994195897301823e+50,1.736521354169888e+56
model2_bpm,0.005,1,Adagrad,mae,"[6.539876067343703e+27, inf, 6.539876067343703e+27]",5.103614338579185e+26,9.409256475428888e+29,2.631324669203618e+53,9.0021267000167e+59
model2_bpm,0.0005,1,RMSprop,mae,"[4.707178974471418e+29, inf, 4.707178974471418e+29]",2.2966264523606333e+28,6.7746646623088e+31,5.328432455137327e+56,4.666702481288658e+63
model2_bpm,0.0005,1,Adam,mae,"[3.3884805294808777e+31, inf, 3.3884805294808777e+31]",1.033481903562285e+30,4.877758556862337e+33,1.0790075721653088e+60,2.4192185663000398e+67
model2_bpm,0.0005,1,SGD,mae,"[2.4393961287029615e+33, inf, 2.4393961287029615e+33]",4.650668566030281e+31,3.5119861609408825e+35,2.18499033363475e+63,1.2541229047699412e+71
model2_bpm,0.0005,1,Adagrad,mae,"[1.756225919652912e+35, inf, 1.756225919652912e+35]",2.0928008547136268e+33,2.528630035877436e+37,4.424605425610368e+66,6.501373138327374e+74
model2_bpm,5e-05,1,RMSprop,mae,"[inf, inf, inf]",9.41760384621132e+34,1.820613625831754e+39,8.959825986860995e+69,3.370311834908912e+78
model2_bpm,5e-05,1,Adam,mae,"[inf, inf, inf]",4.237921730795094e+36,1.310841810598863e+41,1.814364762339352e+73,1.74716965521678e+82
model2_bpm,5e-05,1,SGD,mae,"[inf, inf, inf]",1.907064778857792e+38,9.438061036311816e+42,3.674088643737186e+76,9.05732749264379e+85
model2_bpm,5e-05,1,Adagrad,mae,"[inf, inf, inf]",8.581791504860064e+39,6.795403946144507e+44,7.440029503567802e+79,4.695318572186541e+89
